reference_number,original_citation,doi,resolver_status,registry_title,citation_title,title_similarity,citation_year,registry_year,metadata_match,disposition,notes,retrieval_date
1,"Agbehadji, I. E., & Obagbuwa, I. C. (2024). Systematic review of machine learning and deep learning techniques for spatiotemporal air quality prediction. Atmosphere, 15(11), 1352. https://doi.org/10.3390/atmos15111352",10.3390/atmos15111352,resolved,Systematic Review of Machine Learning and Deep Learning Techniques for Spatiotemporal Air Quality Prediction,Systematic review of machine learning and deep learning techniques for spatiotemporal air quality prediction,1.0,2024,2024,yes,context_candidate,Valid methods review; not needed in concise revision.,2026-07-18
2,"Ahmed, M. T., & Hossain, M. R. (2025). Association between Air Quality Index (AQI) variability and hospital admissions for lung diseases: A longitudinal study \[Preprint\]. medRxiv. https://doi.org/10.1101/2025.06.03.25328871",10.1101/2025.06.03.25328871,resolved,Association Between Air Quality Index (AQI) Variability and Hospital Admissions for Lung Diseases: A Longitudinal Study,Association between Air Quality Index (AQI) variability and hospital admissions for lung diseases: A longitudinal study [Preprint],0.9619047619047619,2025,2025,yes,remove,Preprint only; not needed for the revised station-specific claims.,2026-07-18
3,"AQICN. (n.d.). Bangladesh Department of Environment station, Dhaka: Real-time air quality index. World Air Quality Index Project. Retrieved March 14, 2026, from https://aqicn.org/station/bangladesh-dhaka-department-of-environment/",,no_doi,,,,,,not_checked,remove,AQICN is an aggregator and not an observational source for this study.,2026-07-18
4,"Bangladesh Pratidin. (2025, March 1). Dhaka tops global list with hazardous air quality.",,no_doi,,Dhaka tops global list with hazardous air quality.,,2025,,not_checked,remove,News report cannot support a monthly concentration series.,2026-07-18
5,"Begum, S. (2025, December 5). Dhaka tops global list again. The Daily Observer.",,no_doi,,Dhaka tops global list again,,2025,,not_checked,remove,News report cannot support a monthly concentration series.,2026-07-18
6,"Bento, J. P. C., & Moreira, A. C. (2019). A global analysis of the relationship between energy use, economic growth, and environmental pollution. Energy, 172, 924–938. https://doi.org/10.1016/j.energy.2019.02.027",10.1016/j.energy.2019.02.027,resolved,Analysis of the effect of different hydrogen/diesel ratios on the performance and emissions of a modified compression ignition engine under dual-fuel mode with water injection. Hydrogen-diesel dual-fuel mode,"A global analysis of the relationship between energy use, economic growth, and environmental pollution",0.3053435114503817,2019,2019,title_mismatch,correct_before_use,The supplied DOI resolves to a different article title; correct or remove this citation.,2026-07-18
7,"Burnett, R., Chen, H., Szyszkowicz, M., Fann, N., Hubbell, B., Pope, C. A., Apte, J. S., Brauer, M., Cohen, A., Weichenthal, S., Coggins, J., Di, Q., Brunekreef, B., Frostad, J., Lim, S. S., Kan, H., Walker, K. D., Thurston, G. D., Hayes, R. B., … Krewski, D. (2018). Global estimates of mortality associated with long-term exposure to outdoor fine particulate matter. Proceedings of the National Academy of Sciences, 115(38), 9592–9597. https://doi.org/10.1073/pnas.1803222115",10.1073/pnas.1803222115,resolved,Global estimates of mortality associated with long-term exposure to outdoor fine particulate matter,Global estimates of mortality associated with long-term exposure to outdoor fine particulate matter,1.0,2018,2018,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
8,"Chen, Z., Chen, D., Zhao, C., Kwan, M., Cai, J., Zhuang, Y., Zhao, B., Wang, X., Chen, B., Yang, J., Li, R., He, B., Gao, B., Wang, K., & Xu, B. (2020). Influence of meteorological conditions on PM₂.₅ concentrations across China: A review of methodology and mechanism. Environment International, 139, 105558. https://doi.org/10.1016/j.envint.2020.105558",10.1016/j.envint.2020.105558,resolved,Influence of meteorological conditions on PM2.5 concentrations across China: A review of methodology and mechanism,Influence of meteorological conditions on PM₂.₅ concentrations across China: A review of methodology and mechanism,1.0,2020,2020,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
9,Department of Environment. (2024). National Air Quality Management Plan 2024–2030. Government of the People’s Republic of Bangladesh.,,no_doi,,National Air Quality Management Plan 2024–2030,,2024,,not_checked,retain_revised,Official Bangladesh policy source; cite exact publication page.,2026-07-18
10,Department of Environment. (2025a). Ambient air quality in Bangladesh. Government of the People’s Republic of Bangladesh.,,no_doi,,Ambient air quality in Bangladesh,,2025,,not_checked,replace,Vague title; replace with exact DoE 2018-2023 report metadata.,2026-07-18
11,Department of Environment. (2025b). Monthly air quality report. Government of the People’s Republic of Bangladesh.,,no_doi,,Monthly air quality report,,2025,,not_checked,replace,Vague recurring report title; cite a dated report if used.,2026-07-18
12,"Dhaka Tribune. (2025, December 26). Dhaka records second-worst air quality in the world Friday morning.",,no_doi,,Dhaka records second-worst air quality in the world Friday morning.,,2025,,not_checked,remove,News report cannot support a monthly concentration series.,2026-07-18
13,"Gurjar, B. R., Nagpure, A. S., & Kumar, P. (2021). Gaseous emissions from megacities. In B. R. Gurjar, L. T. Molina, & C. S. P. Ojha (Eds.), Air pollution: Health and environmental impacts (pp. 73–106). CRC Press. https://doi.org/10.1201/9781003099543",10.1201/9781003099543,http_404,,Gaseous emissions from megacities,,2021,,not_checked,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
14,"Hasan, M. M., Hossain, S., Sanjidah, S., & Islam, M. D. (2025). Spatiotemporal distribution of air pollutants and COVID-19 pandemic in Dhaka Division, Bangladesh. Dysona – Applied Science, 6(1), 8–28. https://doi.org/10.30493/DAS.2025.476898",10.30493/DAS.2025.476898,http_404,,"Spatiotemporal distribution of air pollutants and COVID-19 pandemic in Dhaka Division, Bangladesh",,2025,,not_checked,remove,Supplied title/DOI could not be matched as cited.,2026-07-18
15,"Hossain, M. F., Islam, M. A., Islam, M. R., & Bhuiyan, M. A. H. (2024). COVID-19 pandemic and environmental sustainability: Impact of lockdown on air pollution in Bangladesh. Heliyon, 10(3), e25084. https://doi.org/10.1016/j.heliyon.2024.e25084",10.1016/j.heliyon.2024.e25084,resolved,Production and characterization of an organic solvent activated protease from haloalkaliphilic bacterium Halobiforma sp. strain BNMIITR,COVID-19 pandemic and environmental sustainability: Impact of lockdown on air pollution in Bangladesh,0.24271844660194175,2024,2024,title_mismatch,correct_before_use,The supplied DOI resolves to a different article title; correct or remove this citation.,2026-07-18
16,"Hyndman, R. J., & Koehler, A. B. (2006). Another look at measures of forecast accuracy. International Journal of Forecasting, 22(4), 679–688. https://doi.org/10.1016/j.ijforecast.2006.03.001",10.1016/j.ijforecast.2006.03.001,resolved,Another look at measures of forecast accuracy,Another look at measures of forecast accuracy,1.0,2006,2006,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
17,"Islam, M. M., Rana, M. M., Yusuf, M. A., Uddin, M. K., & Al-Mamun, M. R. (2022). Spatio-temporal variation and meteorological influence on particulate matter pollution in Dhaka, Bangladesh. Aerosol and Air Quality Research, 22(5), 220062. https://doi.org/10.4209/aaqr.220062",10.4209/aaqr.220062,http_404,,"Spatio-temporal variation and meteorological influence on particulate matter pollution in Dhaka, Bangladesh",,2022,,not_checked,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
18,"Khatun, R., Luo, Z., Islam, M. M., & Ahasan, M. (2024). Spatiotemporal distribution of PM₂.₅ and meteorological linkages in the Dhaka metropolitan region. Atmosphere, 15(2), 193. https://doi.org/10.3390/atmos15020193",10.3390/atmos15020193,resolved,Spatiotemporal Variability Analysis of Glaciers in the Hindukush Region of Pakistan Using Remote Sensing Data,Spatiotemporal distribution of PM₂.₅ and meteorological linkages in the Dhaka metropolitan region,0.3888888888888889,2024,2024,title_mismatch,correct_before_use,The supplied DOI resolves to a different article title; correct or remove this citation.,2026-07-18
19,"Landrigan, P. J., Fuller, R., Acosta, N. J. R., Adeyi, O., Arnold, R., Baldé, A. B., Bertollini, R., Bose-O’Reilly, S., Boufford, J. I., Breysse, P. N., Chiles, T., Mahidol, C., Coll-Seck, A. M., Cropper, M. L., Fobil, J., Fuster, V., Greenstone, M., Haines, A., Hanrahan, D., … Zhong, M. (2018). The Lancet Commission on pollution and health. The Lancet, 391(10119), 462–512. https://doi.org/10.1016/S0140-6736(17)32345-0",10.1016/S0140-6736(17)32345-0,resolved,The Lancet Commission on pollution and health,The Lancet Commission on pollution and health,1.0,2018,2018,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
20,"Nayem, A. K. M., Zaman, S. U., Begum, F., & Salam, A. (2025). Wintertime black carbon assessment in Dhaka, Bangladesh: Integrated health risk analysis. Heliyon, 11(2), e41809. https://doi.org/10.1016/j.heliyon.2025.e41809",10.1016/j.heliyon.2025.e41809,resolved,"Wintertime black carbon assessment in dhaka, Bangladesh: Integrated health risk analysis","Wintertime black carbon assessment in Dhaka, Bangladesh: Integrated health risk analysis",1.0,2025,2025,yes,retain_revised,Verified peer-reviewed Dhaka black-carbon context.,2026-07-18
21,"Paul, T. (2026). Bangladesh Air Quality Index (AQI) dataset (2000–2025): Historical hourly air pollution data across 103 cities (Version 2) \[Data set\]. Mendeley Data. https://doi.org/10.17632/9j447cynb9.2",10.17632/9j447cynb9.2,http_404,,Bangladesh Air Quality Index (AQI) dataset (2000–2025): Historical hourly air pollution data across 103 cities (Version 2) [Data set],,2026,,not_checked,remove,"Dataset exists, but its measurement lineage is inadequate for trend use.",2026-07-18
22,"Pavel, M. d. E. H., Hossain, M. A., & Begum, B. A. (2021). Long-term air quality and health consequence assessment in Dhaka, Bangladesh (2003–2019). Frontiers in Environmental Science, 9, 760464. https://doi.org/10.3389/fenvs.2021.760464",10.3389/fenvs.2021.760464,http_404,,"Long-term air quality and health consequence assessment in Dhaka, Bangladesh (2003–2019)",,2021,,not_checked,correct_retain,"Correct journal/DOI: Frontiers in Sustainable Cities, 10.3389/frsc.2021.681759.",2026-07-18
23,"Qin, S., Liu, F., Wang, J., & Sun, B. (2019). Analysis and forecasting of the particulate matter (PM) concentration levels over four major cities of China using hybrid models. Atmospheric Environment, 98, 665–675. https://doi.org/10.1016/j.atmosenv.2014.10.075",10.1016/j.atmosenv.2014.10.075,http_404,,Analysis and forecasting of the particulate matter (PM) concentration levels over four major cities of China using hybrid models,,2019,,not_checked,correct_before_use,Correct year/DOI are 2014 and 10.1016/j.atmosenv.2014.09.046.,2026-07-18
24,"Rahman, R.-R., & Kabir, A. (2023). Spatiotemporal analysis and forecasting of air quality in the greater Dhaka region and assessment of a novel particulate matter filtration unit. Environmental Monitoring and Assessment, 195(7), 824. https://doi.org/10.1007/s10661-023-11370-y",10.1007/s10661-023-11370-y,resolved,Spatiotemporal analysis and forecasting of air quality in the greater Dhaka region and assessment of a novel particulate matter filtration unit,Spatiotemporal analysis and forecasting of air quality in the greater Dhaka region and assessment of a novel particulate matter filtration unit,1.0,2023,2023,yes,retain_revised,Verified peer-reviewed greater-Dhaka seasonality/forecast context.,2026-07-18
25,"Romanello, M., Walawender, M., Hsu, S.-C., Moskeland, A., Palmeiro-Silva, Y., Scamman, D., Smallcombe, J. W., Abdullah, S., Ades, M., Al-Maruf, A., Ameli, N., Angelova, D., Ayeb-Karlsson, S., Ballester, J., Basagaña, X., Bechara, H., Beggs, P. J., Cai, W., Campbell-Lendrum, D., … Costello, A. (2025). The 2025 report of the Lancet Countdown on health and climate change: Climate change action offers a lifeline. The Lancet, 406(10521), 2804–2857. https://doi.org/10.1016/S0140-6736(25)01919-1",10.1016/S0140-6736(25)01919-1,resolved,The 2025 report of the Lancet Countdown on health and climate change: climate change action offers a lifeline,The 2025 report of the Lancet Countdown on health and climate change: Climate change action offers a lifeline,1.0,2025,2025,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
26,"Salam, A., Andersson, A., Jeba, F., Haque, M. I., Khan, M. D. H., & Gustafsson, Ö. (2021). Wintertime air quality in megacity Dhaka, Bangladesh strongly affected by influx of black carbon aerosols from regional biomass burning. Environmental Science & Technology, 55(18), 12243–12249. https://doi.org/10.1021/acs.est.1c03623",10.1021/acs.est.1c03623,resolved,"Wintertime Air Quality in Megacity Dhaka, Bangladesh Strongly Affected by Influx of Black Carbon Aerosols from Regional Biomass Burning","Wintertime air quality in megacity Dhaka, Bangladesh strongly affected by influx of black carbon aerosols from regional biomass burning",1.0,2021,2021,yes,retain_revised,Verified peer-reviewed Dhaka winter PM2.5/black-carbon context.,2026-07-18
27,"Samal, K. K. R., Panda, A. K., Babu, K. S., & Das, S. K. (2019). An improved pollution forecasting model with meteorological impact using multiple time series. In Proceedings of the International Conference on Information Technology and Computer Communications (ITCC 2019) (pp. 41–46). ACM. https://doi.org/10.1145/3355402.3355418",10.1145/3355402.3355418,resolved,Humanitarian Logistics Information System for Natural Disaster,An improved pollution forecasting model with meteorological impact using multiple time series,0.2318840579710145,2019,2019,title_mismatch,correct_before_use,The supplied DOI resolves to a different article title; correct or remove this citation.,2026-07-18
28,"Sarkodie, S. A., & Strezov, V. (2019). A review on Environmental Kuznets Curve hypothesis using bibliometric and meta-analysis. Science of the Total Environment, 649, 128–145. https://doi.org/10.1016/j.scitotenv.2018.08.276",10.1016/j.scitotenv.2018.08.276,resolved,A review on Environmental Kuznets Curve hypothesis using bibliometric and meta-analysis,A review on Environmental Kuznets Curve hypothesis using bibliometric and meta-analysis,1.0,2019,2019,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
29,"Sarwar, G., Fahad, S., Shah, A. N., Jiang, H., & Wahid, F. (2023). Chemical characterization of PM₂.₅ at the United States Embassy in Dhaka, Bangladesh: Implications for source identification. Atmospheric Environment, 295, 119551. https://doi.org/10.1016/j.atmosenv.2022.119551",10.1016/j.atmosenv.2022.119551,http_404,,"Chemical characterization of PM₂.₅ at the United States Embassy in Dhaka, Bangladesh: Implications for source identification",,2023,,not_checked,remove,The supplied Atmospheric Environment DOI does not resolve; title unverified.,2026-07-18
30,"Sharma, S., Zhang, M., Anshika, Gao, J., Zhang, H., & Kota, S. H. (2020). Effect of restricted emissions during COVID-19 on air quality in India. Science of the Total Environment, 728, 138878. https://doi.org/10.1016/j.scitotenv.2020.138878",10.1016/j.scitotenv.2020.138878,resolved,Effect of restricted emissions during COVID-19 on air quality in India,Effect of restricted emissions during COVID-19 on air quality in India,1.0,2020,2020,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
31,"Stirnberg, R., Cermak, J., Kotthaus, S., & Haeffelin, M. (2021). Meteorology-driven variability of air pollution (PM₁) revealed with explainable machine learning. Atmospheric Chemistry and Physics, 21(5), 3919–3948. https://doi.org/10.5194/acp-21-3919-2021",10.5194/acp-21-3919-2021,resolved,"Meteorology-driven variability of air pollution (PM
                    <sub>1</sub>
                    )  revealed with explainable machine learning",Meteorology-driven variability of air pollution (PM₁) revealed with explainable machine learning,1.0,2021,2021,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
32,"Takano, A. P. C., Justo, L. T., Santos, N. V., Marquezini, M. V., de André, P. A., da Rocha, F. M. M., Pasqualucci, C. A., Barrozo, L. V., Singer, J. M., de André, C. D. S., Saldiva, P. H. N., & Veras, M. M. (2019). Pleural anthracosis as an indicator of lifetime exposure to urban air pollution: An autopsy-based study in São Paulo. Environmental Research, 173, 23–32. https://doi.org/10.1016/j.envres.2019.03.006",10.1016/j.envres.2019.03.006,resolved,Pleural anthracosis as an indicator of lifetime exposure to urban air pollution: An autopsy-based study in Sao Paulo,Pleural anthracosis as an indicator of lifetime exposure to urban air pollution: An autopsy-based study in São Paulo,0.9896907216494846,2019,2019,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
33,"Taylor, S. J., & Letham, B. (2018). Forecasting at scale. The American Statistician, 72(1), 37–45. https://doi.org/10.1080/00031305.2017.1380080",10.1080/00031305.2017.1380080,resolved,Forecasting at Scale,Forecasting at scale,1.0,2018,2018,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
34,"Tejwani, V., Woo, H., Liu, C., Tillery, A. K., Gassett, A. J., Kanner, R. E., Hoffman, E. A., Martinez, F. J., Woodruff, P. G., Barr, R. G., Fawzy, A., Koehler, K., Curtis, J. L., Freeman, C. M., Cooper, C. B., Comellas, A. P., Pirozzi, C., Paine, R., Tashkin, D., … Hansel, N. N. (2022). Black carbon content in airway macrophages is associated with increased severe exacerbations and worse COPD morbidity in SPIROMICS. Respiratory Research, 23(1), 310. https://doi.org/10.1186/s12931-022-02225-0",10.1186/s12931-022-02225-0,resolved,Black carbon content in airway macrophages is associated with increased severe exacerbations and worse COPD morbidity in SPIROMICS,Black carbon content in airway macrophages is associated with increased severe exacerbations and worse COPD morbidity in SPIROMICS,1.0,2022,2022,yes,context_candidate,Verify relevance before carrying into the concise revised paper.,2026-07-18
35,"The Daily Star. (2025, December 28). Dhaka ranks third worst globally for air quality as AQI hits 216.",,no_doi,,Dhaka ranks third worst globally for air quality as AQI hits 216.,,2025,,not_checked,remove,News report cannot support a monthly concentration series.,2026-07-18
